week,SST,day,month,year
715,28.04082353,9,7,2003
716,28.30529412,14,9,2003
717,28.39714706,21,9,2003
718,28.66147059,28,9,2003
719,28.74647059,10,5,2003
720,28.63885294,10,12,2003
721,28.73341176,19,10,2003
722,28.74255882,26,10,2003
723,28.70332353,11,2,2003
724,28.57247059,11,9,2003
725,27.98073529,16,11,2003
726,27.9305,23,11,2003
727,27.47726471,30,11,2003
728,27.18258824,12,7,2003
729,26.99914706,14,12,2003
730,26.74823529,21,12,2003
731,26.51188235,28,12,2003
732,26.17538235,1,4,2004
733,26.18432353,1,11,2004
734,26.27335294,18,1,2004
735,26.05541176,25,1,2004
736,26.21720588,2,1,2004
737,26.04679412,2,8,2004
738,26.22391176,15,2,2004
739,26.61294118,22,2,2004
740,27.06026471,29,2,2004
741,26.98214706,3,7,2004
742,27.49505882,14,3,2004
743,27.70688235,21,3,2004
744,28.34655882,28,3,2004
745,28.60529412,4,4,2004
746,28.845,4,11,2004
747,29.32273529,18,4,2004
748,29.84214706,25,4,2004
749,30.08014706,5,2,2004
750,30.09447059,5,9,2004
751,29.36511765,16,5,2004
752,29.31858824,23,5,2004
753,29.28279412,30,5,2004
754,29.45558824,6,6,2004
755,29.35082353,13,6,2004
756,29.06820588,20,6,2004
757,29.09697059,27,6,2004
758,28.971,7,4,2004
759,28.82382353,7,11,2004
760,28.73385294,18,7,2004
761,28.52870588,25,7,2004
762,28.47770588,8,1,2004
763,28.47958824,8,8,2004
764,28.41355882,15,8,2004
765,28.55855882,22,8,2004
766,28.92541176,29,8,2004
767,28.534,9,5,2004
768,28.56011765,9,12,2004
769,28.99708824,19,9,2004
770,29.07852941,26,9,2004
771,28.60120588,10,3,2004
772,28.86714706,10,10,2004
773,28.824,17,10,2004
774,28.64847059,24,10,2004
775,28.50070588,31,10,2004
776,28.69091176,11,7,2004
777,28.18176471,14,11,2004
778,27.84332353,21,11,2004
779,27.7735,28,11,2004
780,27.34338235,12,5,2004
781,26.95467647,12,12,2004
782,27.08826471,19,12,2004
783,26.61405882,26,12,2004
784,26.23729412,1,2,2005
785,26.16670588,1,9,2005
786,26.14685294,16,1,2005
787,26.19144118,23,1,2005
788,26.32764706,30,1,2005
789,26.52405882,2,6,2005
790,26.73114706,13,2,2005
791,27.01826471,20,2,2005
792,27.40664706,27,2,2005
793,27.52476471,3,6,2005
794,27.70417647,13,3,2005
795,28.151,20,3,2005
796,28.44567647,27,3,2005
797,28.62364706,4,3,2005
798,29.16452941,4,10,2005
799,29.373,17,4,2005
800,29.91791176,24,4,2005
801,30.03488235,5,1,2005
802,29.83911765,5,8,2005
803,29.78447059,15,5,2005
804,29.87538235,22,5,2005
805,29.83147059,29,5,2005
806,29.61029412,6,5,2005
807,29.36491176,6,12,2005
808,29.34291176,19,6,2005
809,29.22911765,26,6,2005
810,28.77338235,7,3,2005
811,28.84514706,7,10,2005
812,29.22429412,17,7,2005
813,29.00535294,24,7,2005
814,28.63191176,31,7,2005
815,28.55605882,8,7,2005
816,28.46188235,14,8,2005
817,28.62738235,21,8,2005
818,29.34185294,28,8,2005
819,29.31382353,9,4,2005
820,28.70761765,9,11,2005
821,28.72467647,18,9,2005
822,28.73364706,25,9,2005
823,29.05747059,10,2,2005
824,29.15555882,10,9,2005
825,29.16502941,16,10,2005
826,28.76955882,23,10,2005
827,28.86467647,30,10,2005
828,28.62308824,11,6,2005
829,28.16005882,13,11,2005
830,27.88420588,20,11,2005
831,27.51852941,27,11,2005
832,27.51661765,12,4,2005
833,27.2605,12,11,2005
834,26.93064706,18,12,2005
835,26.70638235,25,12,2005
836,26.31541176,1,1,2006
837,26.45823529,1,8,2006
838,26.41688235,15,1,2006
839,26.47397059,22,1,2006
840,26.55085294,29,1,2006
841,26.5765,2,5,2006
842,26.83355882,2,12,2006
843,27.07897059,19,2,2006
844,27.65667647,26,2,2006
845,28.25873529,3,5,2006
846,28.17652941,3,12,2006
847,28.18464706,19,3,2006
848,28.73144118,26,3,2006
849,28.81808824,4,2,2006
850,29.0125,4,9,2006
851,29.31020588,16,4,2006
852,29.55638235,23,4,2006
853,29.66670588,30,4,2006
854,29.96108824,5,7,2006
855,30.06094118,14,5,2006
856,29.62861765,21,5,2006
857,29.57470588,28,5,2006
858,29.35329412,6,4,2006
859,29.29432353,6,11,2006
860,29.26732353,18,6,2006
861,29.16964706,25,6,2006
862,28.78944118,7,2,2006
863,28.94152941,7,9,2006
864,28.78961765,16,7,2006
865,28.86082353,23,7,2006
866,28.50676471,30,7,2006
867,28.49347059,8,6,2006
868,28.40352941,13,8,2006
869,28.58917647,20,8,2006
870,28.6485,27,8,2006
871,28.81579412,9,3,2006
872,29.10920588,9,10,2006
873,28.92282353,17,9,2006
874,28.67732353,24,9,2006
875,28.71873529,10,1,2006
876,29.07947059,10,8,2006
877,29.42126471,15,10,2006
878,29.18482353,22,10,2006
879,29.07526471,29,10,2006
880,28.79782353,11,5,2006
